nid;transaccion_tipo;digitalizacion_medir;digitalizacion_observacion;descargas_obligatorias;formulario_digital;turno_requerido;turno_digital;identificacion_digital;posee_notificaciones;notificaciones;pago_requerido_list;pago_electronico_list;resumen_nivel;relevamiento_observaciones;recomendacion;observacion_recomendacion;texto_servicio;cat1;cat2;cat3;cat4
15;DOCUMENTACIÓN;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;3;;NINGUNA;;Obtener DNI;Renovación;x domicilio / extravío / robo / deterioro;;Argentina
18;INSCRIPCIÓN;SI;;SI;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;2;;NINGUNA;;Solicitar la autorización para instalar y poner en funcionamiento estaciones radioeléctricas;;para operar un Sistema de Cabinas Públicas de Larga Distancia (CPLD);;
19;SIN INFORMACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener Credencial;;;;
20;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener credencial para la biblioteca;Jubilados;;;
21;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;Revisar Link y Contenidos. Según la web del INPI existe un portal web de trámites. Cuenta con clave propia y clave fiscal.;NINGUNA;;Obtener, renovar y transferir Marcas, Patentes y Modelos;Registros;;;
22;DENUNCIA;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;NO;NO;3;Lo único que hay que pagar es la certificación de firmas.;NINGUNA;;Denuncias;;;;
23;SOLICITUD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Solicitar cancelación total o parcial de autorizaciones ;Autorizaciones radioeléctricas en frecuencias inferiores y superiores a 30 MHz y del Servicio de Banda Ciudadana (SBC);;;
24;INSCRIPCIÓN;SI;;NO;NO;SI;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;Turno online según jurisdicción;NINGUNA;;Obtener radicación;Pensionado;Residencia temporaria;;
26;SIN INFORMACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener un prestamo de libros y/o materiales;Bibliotecas;Material bicliográfico y videos;;
27;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
28;INSCRIPCIÓN;SI;;SI;SI;NO - NO APLICA TURNO;NO;CLAVE PROPIA;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;4;Revisar Link y Contenidos. Según la web del INPI existe un portal web de trámites. Cuenta con clave propia y clave fiscal.;NINGUNA;;Obtener, renovar y transferir Marcas, Patentes y Modelos;Renovaciones;;;
30;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
31;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;Obtener credencial para la biblioteca;Estudiantes de la carrera docente;;;
32;DENUNCIA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;Se puede realizar personaqlmente, telefono, fax o correo postal;NINGUNA;;Realizar reclamo;Servicio eléctrico;Por restitución del servicio;;
33;SOLICITUD;SI;;SI;SI;SI;SI;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;SI;3;;NINGUNA;;Presentar pedidos de información;;;;
34;INSCRIPCIÓN;SI;;SI;SI;SI;SI;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;SI;3;;NINGUNA;;Formar Sociedades comerciales;Inscripción;;;
35;INSCRIPCIÓN;SI;;SI;SI;SI;SI;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;SI;3;;NINGUNA;;Formar Sociedades comerciales;Inscripción;;;
36;INSCRIPCIÓN;SI;;SI;SI;SI;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;SI;3;;NINGUNA;;Autorizaciones para Personería jurídica;;;;
37;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Obtener permiso de ingreso;Trabajadores contratados;;;
38;DOCUMENTACIÓN;SI;;NO;SI;SI;SI;NO;SI;SIN INFORMACIÓN;SI - OBLIGATORIO;SI - SEGÚN DEPENDENCIA;3;;NINGUNA;;Obtención y renovación de documentos;Título;;;
39;INSCRIPCIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;4;Estas variables son sólo para 2 modalidades, para las otras 2 modalidades el Nivel es 3;NINGUNA;;Obtener clave fiscal;;;;
40;DOCUMENTACIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;CLAVE FISCAL;NO;SIN INFORMACIÓN;NO;NO;3;;NINGUNA;;Obtener el certificado de capacidad económica;Para acceder automotor - discapacitado;;;
41;INSCRIPCIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;No dice si el pago puede realizarse de manera electrónica;NINGUNA;;Comercializar Cueros, pieles y lanas;Obtener certificado;Zoosanitario de exportación.;;Exportar cueros, pieles y lanas
42;ASESORAMIENTO;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
43;SOLICITUD;SI;;SI;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;SI;3;;NINGUNA;;Solicitud de Matrículas;;;;
44;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
45;CONSULTA;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;SI;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
46;ACTIVIDAD;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;NO;NO;1;;NINGUNA;;;;;;
47;INSCRIPCIÓN;SI;;SI;SI;SI;SI;NO;NO;SIN INFORMACIÓN;SI - SEGÚN OPCIÓN;SI;3;;NINGUNA;;Formar Sociedades comerciales;Inscripción ;;;
48;INSCRIPCIÓN;SI;;NO;NO;SI;SI;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;3;Turno online según jurisdicción;NINGUNA;;Obtener radicación definitiva (Cambio de Categoría);Trabajador contratado;Residencia definitiva;No MERCOSUR;
49;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Obtener / renovar certificado;Certificado Nacional de Seguridad de la Navegación (CNSN);;;
50;DOCUMENTACIÓN;SI;;NO;NO;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Obtener certificado náutico deportivo;Conductor náutico;Obtener;;
51;DOCUMENTACIÓN;SI;;NO;SI;NO - NO APLICA TURNO;NO;NO;NO;SIN INFORMACIÓN;SI - OBLIGATORIO;NO;1;;NINGUNA;;Obtener certificado de pago;;;;
